Categoria CID-10	2019	2020	2021	2022	2023	2024	Total
Total	5	5	7	2	1	3	23
F53 Transt mentais comport assoc puerperio NCOP	1	-	-	-	-	-	1
O00 Gravidez ectopica	-	-	1	-	-	1	2
O02 Outr produtos anormais da concepcao	-	1	-	1	-	-	2
O10 Hipertens pre-exist complic grav parto puerp	1	-	-	-	-	-	1
O14 Hipertensao gestacional c/proteinuria signif	1	1	1	-	-	-	3
O15 Eclampsia	1	-	-	-	-	-	1
O24 Diabetes mellitus na gravidez	-	-	1	-	-	-	1
O45 Descolamento prematuro da placenta	-	1	1	-	-	-	2
O62 Anormalidades da contracao uterina	-	-	-	-	1	1	2
O72 Hemorragia pos-parto	-	1	1	-	-	-	2
O88 Embolia orig obstetrica	-	1	-	-	-	-	1
O95 Morte obstetrica de causa NE	-	-	1	-	-	-	1
O98 Doen inf paras mat COP compl grav part puerp	-	-	1	-	-	1	2
O99 Outr doenc mat COP compl grav parto puerp	1	-	-	1	-	-	2
