"regiao";"obitos_totais";"pct_do_estado";"obitos_shg";"pct_shg_na_regiao"
"Entre Rios";"74";"31,48936170212766";"13";"17,6"
"Planície Litorânea";"24";"10,21276595744681";"6";"25,0"
"Cocais";"23";"9,78723404255319";"5";"21,7"
"Chapada das Mangabeiras";"21";"8,93617021276596";"8";"38,1"
"Vale dos Rios Piauí e Itaueiras";"18";"7,65957446808511";"3";"16,7"
"Vale do Canindé";"16";"6,80851063829787";"3";"18,8"
"Serra da Capivara";"14";"5,95744680851064";"4";"28,6"
"Vale do Rio Guaribas";"12";"5,10638297872340";"5";"41,7"
"Carnaubais";"11";"4,68085106382979";"5";"45,5"
"Chapada Vale do Rio Itaim";"9";"3,82978723404255";"4";"44,4"
"Tabuleiros do Alto Parnaíba";"7";"2,97872340425532";"2";"28,6"
"Vale do Sambito";"6";"2,55319148936170";"4";"66,7"
