"municipio";"obitos_shg";"regiao"
"TERESINA";"8";"Outra região"
"PARNAIBA";"4";"Outra região"
"BOM JESUS";"2";"Outra região"
"CORRENTE";"2";"Outra região"
"IPIRANGA DO PIAUI";"2";"Outra região"
"JAICOS";"2";"Outra região"
"PAULISTANA";"2";"Outra região"
"PICOS";"2";"Outra região"
"SAO JOAO DA SERRA";"2";"Outra região"
"AGUA BRANCA";"1";"Outra região"
"ALTOS";"1";"Outra região"
"AROAZES";"1";"Outra região"
"ASSUNCAO DO PIAUI";"1";"Outra região"
"BAIXA GRANDE DO RIBEIRO";"1";"Outra região"
"BERTOLINIA";"1";"Outra região"
"CAJUEIRO DA PRAIA";"1";"Outra região"
"CAMPO ALEGRE DO FIDALGO";"1";"Outra região"
"CAMPO MAIOR";"1";"Outra região"
"CASTELO DO PIAUI";"1";"Outra região"
"CURRAIS";"1";"Outra região"
"DOM EXPEDITO LOPES";"1";"Outra região"
"ESPERANTINA";"1";"Cocais"
"GILBUES";"1";"Outra região"
"ISAIAS COELHO";"1";"Outra região"
"JOAQUIM PIRES";"1";"Cocais"
"JOSE DE FREITAS";"1";"Outra região"
"LUIS CORREIA";"1";"Outra região"
"MANOEL EMIDIO";"1";"Outra região"
"MILTON BRANDAO";"1";"Cocais"
"MONSENHOR GIL";"1";"Outra região"
"OEIRAS";"1";"Outra região"
"PARNAGUA";"1";"Outra região"
"PEDRO II";"1";"Cocais"
"PIMENTEIRAS";"1";"Outra região"
"PRATA DO PIAUI";"1";"Outra região"
"SAO FRANCISCO DE ASSIS DO PIAUI";"1";"Outra região"
"SAO FRANCISCO DO PIAUI";"1";"Outra região"
"SAO GONCALO DO GURGUEIA";"1";"Outra região"
"SAO JOAO DA FRONTEIRA";"1";"Cocais"
"SAO JOAO DO PIAUI";"1";"Outra região"
"SAO RAIMUNDO NONATO";"1";"Outra região"
"UNIAO";"1";"Outra região"
"URUCUI";"1";"Outra região"
"VALENCA DO PIAUI";"1";"Outra região"
"VARZEA BRANCA";"1";"Outra região"
