"regiao";"obitos_totais";"pct_do_estado"
"Carnaubais";"11";"4,68085106382979"
"Chapada das Mangabeiras";"21";"8,93617021276596"
"Cocais";"23";"9,78723404255319"
"Entre Rios";"74";"31,48936170212766"
"Planície Litorânea";"24";"10,21276595744681"
"Serra da Capivara";"14";"5,95744680851064"
"Tabuleiros do Alto Parnaíba";"7";"2,97872340425532"
"Vale do Canindé";"16";"6,80851063829787"
"Vale do Rio Guaribas";"12";"5,10638297872340"
"Vale do Sambito";"6";"2,55319148936170"
"Vale dos Rios Piauí e Itaueiras";"18";"7,65957446808511"
"Chapada Vale do Rio Itaim";"9";"3,82978723404255"
