"ano";"obitos_shg";"area";"nascidos_vivos";"rmm_shg"
"2019";"14";"Estado";"47933";"29,2074353785492"
"2020";"13";"Estado";"45229";"28,7426208848305"
"2021";"8";"Estado";"45978";"17,3996259080430"
"2022";"14";"Estado";"42247";"33,1384477004284"
"2023";"5";"Estado";"42144";"11,8640850417616"
"2024";"8";"Estado";"39697";"20,1526563720180"
"2019";"3";"Cocais";"5622";"53,3617929562433"
"2020";"1";"Cocais";"5504";"18,1686046511628"
"2021";"1";"Cocais";"5642";"17,7242112725984"
"2022";"0";"Cocais";"5172";"0,0000000000000"
"2023";"0";"Cocais";"5204";"0,0000000000000"
"2024";"0";"Cocais";"5037";"0,0000000000000"
